Ticker,Name,Sector, Mkt. Cap ,P/E Ratio,Forward  P/E Ratio,Dividend Yield
SXL,Sunoco Logistics Partners LP,Energy," $7,955 ",45.32,23.81,8.5%
APU,AmeriGas Partners LP,Utilities," $4,445 ",24.91,17.37,7.9%
OHI,Omega Healthcare Investors Inc,Real Estate," $6,036 ",19.78,15.27,7.8%
ARLP,Alliance Resource Partners LP,Energy," $1,633 ",12.71,12.60,7.8%
GEL,Genesis Energy LP,Energy," $4,156 ",31.42,19.00,7.8%
HEP,Holly Energy Partners LP,Energy," $1,997 ",17.76,16.27,7.4%
BPL,Buckeye Partners LP,Energy," $9,249 ",14.55,15.07,7.4%
OKS,ONEOK Partners LP,Energy," $12,502 ",31.69,16.39,7.4%
VGR,Vector Group Ltd,Consumer Staples," $2,916 ",36.30,33.44,7.0%
PAA,Plains All American Pipeline LP,Energy," $21,364 ",62.10,18.76,6.8%
WPC,WP Carey Inc,Real Estate," $6,206 ",22.97,22.73,6.7%
TCP,TC PipeLines LP,Energy," $3,841 ",253.66,18.46,6.4%
TLP,TransMontaigne Partners LP,Energy, $718 ,20.32,15.31,6.3%
EPD,Enterprise Products Partners LP,Energy," $56,540 ",20.84,19.06,6.0%
HCN,Welltower Inc,Real Estate," $23,844 ",36.39,32.78,5.1%
HCP,HCP Inc,Real Estate," $13,898 ",N/A,37.01,5.0%
NHI,National Health Investors Inc,Real Estate," $2,913 ",16.63,20.60,4.9%
T,AT&T Inc,Telecommunication Services," $261,975 ",16.44,14.32,4.6%
SO,Southern Co/The,Utilities," $48,383 ",17.86,16.46,4.6%
PPL,PPL Corp,Utilities," $23,284 ",12.25,15.73,4.5%
MMP,Magellan Midstream Partners LP,Energy," $17,212 ",19.98,19.93,4.4%
DUK,Duke Energy Corp,Utilities," $53,751 ",18.52,16.74,4.4%
UBA,Urstadt Biddle Properties Inc,Real Estate, $887 ,21.68,N/A,4.4%
VZ,Verizon Communications Inc,Telecommunication Services," $219,078 ",14.50,13.33,4.3%
OKE,ONEOK Inc,Energy," $12,206 ",41.15,31.68,4.3%
OXY,Occidental Petroleum Corp,Energy," $54,716 ",N/A,55.09,4.3%
O,Realty Income Corp,Real Estate," $14,835 ",49.66,46.35,4.2%
CNP,CenterPoint Energy Inc,Utilities," $10,651 ",N/A,19.70,4.2%
MCY,Mercury General Corp,Financials," $3,334 ",26.39,23.16,4.1%
WHG,Westwood Holdings Group Inc,Financials, $528 ,25.62,N/A,4.1%
NNN,National Retail Properties Inc,Real Estate," $6,458 ",38.38,31.89,4.1%
GPS,Gap Inc/The,Consumer Discretionary," $9,067 ",14.92,10.98,4.1%
UHT,Universal Health Realty Income Trust,Real Estate, $884 ,48.46,N/A,4.0%
ORI,Old Republic International Corp,Financials," $4,995 ",12.09,13.57,4.0%
D,Dominion Resources Inc/VA,Utilities," $48,253 ",22.21,19.89,3.9%
IVZ,Invesco Ltd,Financials," $12,297 ",15.91,11.83,3.7%
CVX,Chevron Corp,Energy," $222,417 ",N/A,25.24,3.7%
ED,Consolidated Edison Inc,Utilities," $22,571 ",17.24,17.78,3.6%
SKT,Tanger Factory Outlet Centers Inc,Real Estate," $3,382 ",12.11,32.29,3.6%
HP,Helmerich & Payne Inc,Energy," $8,456 ",N/A,979.75,3.6%
MO,Altria Group Inc,Consumer Staples," $132,326 ",23.87,20.30,3.6%
DLR,Digital Realty Trust Inc,Real Estate," $15,641 ",62.65,67.21,3.6%
WEC,WEC Energy Group Inc,Utilities," $18,574 ",19.11,18.85,3.6%
CMP,Compass Minerals International Inc,Materials," $2,681 ",21.67,20.84,3.6%
NWE,NorthWestern Corp,Utilities," $2,756 ",16.13,16.75,3.5%
PBCT,People's United Financial Inc,Financials," $6,032 ",20.78,20.00,3.5%
EMR,Emerson Electric Co,Industrials," $36,218 ",23.16,20.83,3.4%
AVA,Avista Corp,Utilities," $2,579 ",19.68,19.05,3.4%
MXIM,Maxim Integrated Products Inc,Information Technology," $11,053 ",25.31,17.55,3.4%
UVV,Universal Corp/VA,Consumer Staples," $1,439 ",16.74,N/A,3.4%
KO,Coca-Cola Co/The,Consumer Staples," $179,419 ",24.65,20.90,3.4%
IBM,International Business Machines Corp,Information Technology," $158,413 ",13.03,11.94,3.4%
MDP,Meredith Corp,Consumer Discretionary," $2,590 ",45.48,18.07,3.4%
XEL,Xcel Energy Inc,Utilities," $20,796 ",17.88,17.59,3.3%
TGT,Target Corp,Consumer Discretionary," $40,790 ",14.13,13.11,3.3%
XOM,Exxon Mobil Corp,Energy," $374,654 ",40.90,21.30,3.3%
CAT,Caterpillar Inc,Industrials," $54,581 ",54.72,30.58,3.3%
RAI,Reynolds American Inc,Consumer Staples," $79,986 ",14.29,22.01,3.3%
QCOM,QUALCOMM Inc,Information Technology," $97,533 ",17.43,13.13,3.3%
SJI,South Jersey Industries Inc,Utilities," $2,729 ",18.95,24.96,3.2%
ES,Eversource Energy,Utilities," $17,610 ",18.48,17.47,3.2%
KMB,Kimberly-Clark Corp,Consumer Staples," $41,217 ",20.67,18.02,3.2%
VVC,Vectren Corp,Utilities," $4,343 ",19.84,19.63,3.2%
MUR,Murphy Oil Corp,Energy," $5,419 ",N/A,86.47,3.2%
FLO,Flowers Foods Inc,Consumer Staples," $4,155 ",18.15,21.09,3.2%
PG,Procter & Gamble Co/The,Consumer Staples," $225,720 ",23.48,20.16,3.2%
VFC,VF Corp,Consumer Discretionary," $22,187 ",19.85,15.60,3.2%
SCG,SCANA Corp,Utilities," $10,520 ",17.98,17.30,3.1%
NWN,Northwest Natural Gas Co,Utilities," $1,773 ",26.16,25.95,3.1%
GIS,General Mills Inc,Consumer Staples," $36,169 ",22.25,18.39,3.1%
