Ticker,Price,Dividend Yield,Standard Deviation,Payout Ratio,Growth Rate,Total Return,P/E Ratio,10 Yr Historical P/E,Modified PEG
CAH,$72 ,2.50%,34%,35%,14.60%,17.10%,13.8,16.8,0.8
ABBV,$63 ,4.10%,27%,54%,11.80%,15.90%,13.2,15,0.8
AFL,$70 ,2.50%,43%,26%,9.30%,11.70%,10.4,12.2,0.9
BEN,$40 ,2.00%,38%,27%,11.20%,13.20%,13.5,15.3,1
TROW,$75 ,2.90%,40%,45%,11.40%,14.20%,15.5,21.4,1.1
VFC,$53 ,3.10%,29%,54%,11.50%,14.60%,17.1,14.9,1.2
PNR,$56 ,2.50%,31%,37%,9.10%,11.60%,14.8,17.5,1.3
TGT,$72 ,3.30%,30%,47%,7.70%,11.00%,14.2,15.4,1.3
LOW,$71 ,2.00%,31%,40%,13.90%,15.80%,20.4,16.7,1.3
GWW,$232 ,2.10%,26%,42%,12.50%,14.60%,20,18,1.4
MDT,$71 ,2.40%,24%,38%,8.80%,11.30%,15.9,14.4,1.4
HRL,$35 ,2.00%,20%,44%,13.60%,15.60%,22.3,17.3,1.4
WBA,$83 ,1.80%,29%,33%,10.30%,12.10%,18,18.1,1.5
ABT,$38 ,2.80%,20%,49%,8.90%,11.70%,17.7,15.6,1.5
JNJ,$115 ,2.80%,16%,49%,8.70%,11.50%,17.6,14.6,1.5
APD,$144 ,2.40%,29%,46%,9.90%,12.20%,19.1,17.4,1.6
PPG,$95 ,1.70%,28%,27%,8.30%,10.00%,15.9,17.7,1.6
PG,$84 ,3.20%,18%,72%,10.90%,14.10%,22.6,18.4,1.6
SHW,$269 ,1.30%,28%,28%,12.60%,13.80%,22.4,17.9,1.6
T,$43 ,4.60%,22%,70%,4.60%,9.20%,15.1,13.5,1.6
EMR,$56 ,3.40%,29%,64%,7.90%,11.30%,18.7,17.1,1.7
BDX,$166 ,1.80%,20%,34%,9.50%,11.30%,19.2,16.8,1.7
MCD,$122 ,3.10%,19%,70%,9.70%,12.80%,22.5,16.7,1.8
SPGI,$108 ,1.30%,36%,28%,10.60%,11.90%,21,19.7,1.8
WMT,$69 ,2.90%,20%,44%,5.70%,8.60%,15.3,14.5,1.8
ECL,$117 ,1.30%,24%,34%,13.50%,14.80%,26.9,23.7,1.8
CL,$65 ,2.40%,19%,56%,10.40%,12.70%,23.3,20.6,1.8
KMB,$114 ,3.20%,18%,61%,6.90%,10.20%,19,17.2,1.9
LEG,$49 ,2.80%,31%,52%,7.20%,10.00%,18.8,19.4,1.9
ITW,$122 ,2.10%,27%,47%,9.60%,11.70%,22.3,16.4,1.9
MMM,$179 ,2.50%,23%,55%,9.10%,11.60%,22.1,15.3,1.9
KO,$41 ,3.40%,19%,66%,6.30%,9.60%,19.6,18.6,2
SWK,$115 ,2.00%,32%,35%,6.50%,8.50%,17.4,14.5,2
GPC,$96 ,2.80%,23%,57%,7.00%,9.80%,20.6,15.8,2.1
PEP,$105 ,2.90%,18%,64%,7.50%,10.40%,22.3,18.7,2.1
ADM,$46 ,2.60%,34%,59%,7.80%,10.50%,22.5,13.4,2.1
DOV,$75 ,2.30%,30%,56%,8.60%,11.00%,23.9,14.9,2.2
ADP,$103 ,2.20%,21%,66%,11.40%,13.60%,29.9,21.6,2.2
CLX,$120 ,2.70%,18%,64%,7.90%,10.60%,24.1,19.7,2.3
SYY,$55 ,2.40%,22%,59%,7.80%,10.20%,24.6,18.2,2.4
BF-B,$45 ,1.60%,24%,43%,9.30%,10.90%,26.5,21.4,2.4
CTAS,$116 ,1.20%,26%,29%,9.30%,10.40%,25.4,17.7,2.4
BCR,$225 ,0.50%,21%,10%,8.70%,9.10%,22.6,18,2.5
MKC,$93 ,2.00%,19%,51%,8.00%,10.00%,25.2,18.6,2.5
CINF,$76 ,2.50%,32%,49%,4.20%,6.70%,19.5,16,2.9
XOM,$90 ,3.30%,25%,140%,9.70%,13.00%,42.2,11.6,3.2
ED,$74 ,3.60%,17%,69%,2.10%,5.80%,18.9,14.3,3.3
NUE,$60 ,2.50%,42%,67%,4.80%,7.40%,26.5,18.1,3.6
HCP,$30 ,5.00%,43%,157%,3.50%,8.50%,31.5,14.4,3.7
CVX,$118 ,3.70%,28%,1000%,9.40%,13.00%,272.5,9.4,20.9
